x,y
2.671370967741936,6.730845573640333
3.356854838709678,4.2922361481313445
6.401209677419356,6.135371179039301
5.057123655913979,2.491635002552033
2.103494623655914,2.8389950660693017
1.6498655913978495,7.290875063800828
3.313172043010753,7.978506209947258
1.9758064516129035,5.447740032892871
4.398521505376345,5.490273918221517
4.129704301075269,2.980774683831452
5.49731182795699,6.858447229626269
5.967741935483872,3.8739862757330004
4.183467741935484,4.0582997788237964
2.980510752688172,2.2222537288039472
5.016801075268818,8.063573980604547
6.633064516129034,6.128282198151194
